%time,field.left_wheel,field.right_wheel
1304221342467380046,3.92402219772,3.76706147194
1304221342507363080,3.61670351028,3.77395129204
1304221342547425985,3.76607465744,3.92299437523
1304221342587380886,3.7706091404,3.61350035667
1304221342627417087,3.77063250542,3.92774224281
1304221342667402029,3.6135134697,3.77062273026
1304221342707283020,3.77786803246,3.77786803246
1304221342747416973,3.76047301292,3.60378670692
1304221342787379026,3.92615914345,3.92615914345
1304221342827426910,3.76937484741,3.76937484741
1304221342867415904,3.92802977562,3.92802977562
1304221342907367944,3.77296900749,3.77296900749
1304221342947376966,3.61027336121,3.76724171638
1304221342987375974,3.76967716217,3.76967716217
1304221343027379035,3.77161455154,3.77161455154
1304221343067414045,3.76787519455,3.76787519455
1304221343107861042,3.57034349442,3.7255756855
1304221343147871017,3.770414114,3.770414114
1304221343187099933,3.8342962265,3.8342962265
1304221343227794885,3.55368709564,3.55368709564
1304221343267946004,3.76606869698,3.76606869698
1304221343307765960,3.77636814117,3.77636814117
1304221343347759008,3.77017903328,3.77017903328
1304221343387898921,3.76626253128,3.76626253128
1304221343427783012,3.76775527,3.76775527
1304221343467788934,3.77215957642,3.61498618126
1304221343507896900,3.77008724213,3.77008724213
1304221343547800064,3.7704679966,3.7704679966
1304221343587800025,3.76732754707,3.76732754707
1304221343627337932,3.82198643684,3.82198643684
1304221343667727947,3.72348165512,3.72348165512
1304221343707668066,3.9473130703,3.78942060471
1304221343747951030,3.74760890007,3.74760890007
1304221343787884950,3.7687087059,3.7687087059
1304221343827893972,3.92927098274,3.77210021019
1304221343867863893,3.76883649826,3.6118016243
1304221343907109975,3.99452257156,3.83474159241
1304221343947818994,3.70528745651,3.70528745651
1304221343987862110,3.77189660072,3.77189660072
1304221344027853012,3.77115702629,3.92828845978
1304221344067830085,3.76955032349,3.6124856472
1304221344107929944,3.92629981041,3.76924777031
1304221344152493000,3.66127490997,3.80209302902
1304221344191787958,3.8320081234,3.67234110832
1304221344228651046,3.59060406685,3.59060406685
1304221344271997928,3.76936650276,3.91434216499
1304221344307904005,3.85039639473,3.6753783226
